Map,Winner,Winner race,Loser,Loser race
Last Refuge,Eer0,u,Sok,h
Northern Isles,KraV,u,TeRRoR,u
Terenas Stand LV,CoopeR,o,Edo,u
Amazonia,Neytpoh,n,Dise,n
Northern Isles,Happy,u,KraV,u
Terenas Stand LV,LawLiet,n,Michael,u
Concealed Hill,Blade,h,ThundeR,h
Last Refuge,LiiLD.C,n,HaZe,n
Concealed Hill,Infi,h,Colorful,n
Last Refuge,EnTe,u,Edo,u
Echo Isles,Happy,u,Edo,u
Echo Isles,Soin,o,LeMei,n
Turtle Rock,Eer0,u,LawLiet,n
Last Refuge,Sonik,n,Skutt,u
Twisted Meadows,Paladyn,n,HoT,n
Northern Isles,LawLiet,n,FoCuS,o
Amazonia,Happy,u,P1nke,o
Northern Isles,KraV,n,InsoliTe,u
Last Refuge,Edo,u,Wiz,n
Northern Isles,Divine,u,Etaphraven,o
Northern Isles,Rici,o,HoT,n
Last Refuge,LawLiet,n,Colorful,n
Last Refuge,JohnnyCage,h,CoopeR,o
Concealed Hill,Lyn,o,Colorful,n
Concealed Hill,ArminvB,o,VictorZorin,u
Talonrift Coast,TGW,u,X3-DemoN,h
Turtle Rock,Happy,u,WaN,u
Amazonia,Pink,u,Yange,n
Amazonia,Happy,u,Edo,u
Terenas Stand LV,JohnnyCage,h,RaZZoRMaN,o
Last Refuge,Blade,h,WaN,u
Northern Isles,Eer0,u,FoCuS,o
Echo Isles,Dise,n,Hipposaur,h
Last Refuge,Yange,n,Bido,h
Terenas Stand LV,Colorful,n,SyDe,u
Terenas Stand LV,Moon,n,Alice,n
Last Snow,Dise,n,Fabrizzio,o
Northern Isles,LawLiet,n,Chaemiko,h
Concealed Hill,MoonAndino,n,Patitofeo,u
Echo Isles,XiaoKai,u,Soin,o
Last Refuge,HoT,n,TGW,u
Northern Isles,FoCuS,o,Ice orc,o
Turtle Rock,Sonik,n,Sok,h
Amazonia,Chaganaga,u,LuTr,o
Northern Isles,Hipposaur,h,Ze1Ko,h
Echo Isles,Sok,h,Moon,n
Concealed Hill,RaZZoRMaN,o,ToM,o
Last Refuge,TeD,u,15sui,n
Terenas Stand LV,Ark,n,Soulglider,h
Twisted Meadows,Sonik,n,ArminvB,o
Northern Isles,Lyn,o,Colorful,n
Amazonia,Mythos,u,MuscleMike,o
Last Refuge,DeMiGoD,o,PhoeNix,n
Last Refuge,Alice,n,Anxi,u
Turtle Rock,Deuce,u,RavinDrannor,o
Northern Isles,Hipposaur,h,NickMoris,n
Terenas Stand LV,Turnaround,h,Saitama,n
Concealed Hill,Drunken,h,PalleS,h
Northern Isles,MrGannicus,u,Ower,u
Echo Isles,Fish,h,ToM,o
Turtle Rock,XeLSinG,o,Flopoks,u
Last Refuge,JohnnyCage,h,KiWiKaKi,o
Amazonia,TapioN,o,Sunny,h
Last Refuge,LawLiet,n,Infi,h
Northern Isles,Ark,n,Deuce,u
Amazonia,Happy,u,Michael,u
Concealed Hill,Fortitude,h,Colorful,n
Concealed Hill,Edo,u,Please,n
Northern Isles,Foggy,n,Please,n
Amazonia,Happy,u,JusTDoiTpLs,u
Concealed Hill,PriesT,h,Sooo Unreal,h
Concealed Hill,Fortitude,h,Michael,u
Concealed Hill,Michael,u,ThundeR,h
Concealed Hill,Freshwind,u,Psike,u
Northern Isles,Happy,u,BsK,u
Last Refuge,Michael,u,Hitman,o
Echo Isles,HawK,h,LiiLD.C,n
Terenas Stand LV,Zhou Xixi,n,Yumiko,n
Terenas Stand LV,Lnclnerator,o,HumanKingTom,h
Northern Isles,Michael,u,Sok,h
Last Refuge,FoCuS,o,Ice orc,o
Echo Isles,AtheistP,h,ArminvB,o
Terenas Stand LV,LawLiet,n,Sheik,u
Concealed Hill,XlorD,u,WaN,u
Concealed Hill,FoCuS,o,Soin,o
Autumn Leaves,Michael,u,CorNoX,n
Terenas Stand LV,Ajk,n,TimberOwls,h
Twisted Meadows,InsoliTe,u,ZeLL,h
Echo Isles,KraV,u,SeTh,n
Autumn Leaves,Jens,n,SaysO,u
Echo Isles,SaysO,o,INSUPERABLE,u
Echo Isles,Cement,u,RaZZoRMaN,o
Last Refuge,MrOleh,o,Schlautier,o
Twisted Meadows,Cash,o,Foggy,n
Northern Isles,Aeb,u,Sorah,o
Terenas Stand LV,LeMei,n,Toshbi,n
Last Refuge,WFZ,u,Yange,n
Northern Isles,Please,n,Deathnote,h
Last Refuge,Sonik,n,Rav3n,u
Concealed Hill,Scars,o,Celebrate,o
Northern Isles,ReseT,n,Lucker,o
Concealed Hill,AllTheSmoke,u,WTii,h
Concealed Hill,XiaoKai,o,Pink,u
Concealed Hill,Edo,u,SpiritLink,o
Echo Isles,INSUPERABLE,u,Pride,o
Northern Isles,Ze1Ko,h,Seal,o
Amazonia,Destroyer (Iranian player),o,NovA (Iranian player),u
Northern Isles,Chaemiko,h,FoCuS,o
