Date,Match name,Map,Winner,Winner race,Loser,Loser race
2020-10-21,ESL Pro Series Germany/2020/Season 2#ID40_LongWalk_vs_ToD_on_Echo_Isles_in_Group_B_Week_4_Map_1,Echo Isles,ToD,h,LongWalk,n
2020-10-21,ESL Pro Series Germany/2020/Season 2#ID40_LongWalk_vs_ToD_on_Northern_Isles_in_Group_B_Week_4_Map_2,Northern Isles,ToD,h,LongWalk,n
2020-10-21,ESL Pro Series Germany/2020/Season 2#ID41_RaGsen_vs_SpoKi_on_Last_Refuge_in_Group_B_Week_4_Map_2,Last Refuge,RaGsen,o,SpoKi,n
2020-10-21,ESL Pro Series Germany/2020/Season 2#ID41_RaGsen_vs_SpoKi_on_Northern_Isles_in_Group_B_Week_4_Map_1,Northern Isles,RaGsen,o,SpoKi,u
2020-10-21,ESL Pro Series Germany/2020/Season 2#ID42_JokeRn_vs_WaN_on_Echo_Isles_in_Group_B_Week_4_Map_1,Echo Isles,WaN,u,JokeRn,n
2020-10-21,ESL Pro Series Germany/2020/Season 2#ID42_JokeRn_vs_WaN_on_Twisted_Meadows_in_Group_B_Week_4_Map_2,Twisted Meadows,WaN,u,JokeRn,n
2020-10-21,SCILL Play WC3:Reforged Silver Open Cup/3#ID11_Stranik_vs_lilyal_on_Northern_Isles_in_Round_of_32_Map_1,Northern Isles,Dise,n,Lilyal,u
2020-10-21,SCILL Play WC3:Reforged Silver Open Cup/3#ID16_Helbisch_vs_ArminvB_on_Northern_Isles_in_Round_of_32_Map_1,Northern Isles,ArminvB,o,Helbisch,u
2020-10-21,SCILL Play WC3:Reforged Silver Open Cup/3#ID23_Cement_vs_Counting1_on_Terenas_Stand_LV_in_Round_of_16_Map_1,Terenas Stand LV,Cement,u,Counting1,h
2020-10-21,SCILL Play WC3:Reforged Silver Open Cup/3#ID25_ToM_vs_atheistP_on_Echo_Isles_in_Quarterfinals_Map_2,Echo Isles,AtheistP,h,ToM,o
2020-10-21,SCILL Play WC3:Reforged Silver Open Cup/3#ID25_ToM_vs_atheistP_on_Northern_Isles_in_Quarterfinals_Map_3,Northern Isles,ToM,o,AtheistP,h
2020-10-21,SCILL Play WC3:Reforged Silver Open Cup/3#ID25_ToM_vs_atheistP_on_Turtle_Rock_in_Quarterfinals_Map_1,Turtle Rock,ToM,o,AtheistP,h
2020-10-21,SCILL Play WC3:Reforged Silver Open Cup/3#ID26_iDentify_vs_SDmK_on_Last_Refuge_in_Quarterfinals_Map_3,Last Refuge,SDmK,u,IDentify,o
2020-10-21,SCILL Play WC3:Reforged Silver Open Cup/3#ID26_iDentify_vs_SDmK_on_Turtle_Rock_in_Quarterfinals_Map_2,Turtle Rock,SDmK,u,IDentify,o
2020-10-21,SCILL Play WC3:Reforged Silver Open Cup/3#ID28_Cement_vs_PhoeNix_on_Concealed_Hill_in_Quarterfinals_Map_2,Concealed Hill,PhoeNix,n,Cement,u
2020-10-21,SCILL Play WC3:Reforged Silver Open Cup/3#ID28_Cement_vs_PhoeNix_on_Echo_Isles_in_Quarterfinals_Map_1,Echo Isles,PhoeNix,n,Cement,u
2020-10-21,SCILL Play WC3:Reforged Silver Open Cup/3#ID29_ToM_vs_SDmK_on_Terenas_Stand_LV_in_Semifinals_Map_2,Terenas Stand LV,SDmK,u,ToM,o
2020-10-21,SCILL Play WC3:Reforged Silver Open Cup/3#ID29_ToM_vs_SDmK_on_Turtle_Rock_in_Semifinals_Map_1,Turtle Rock,SDmK,u,ToM,o
2020-10-22,SCILL Play WC3:Reforged Silver Open Cup/3#ID31_SDmK_vs_Stranik_on_Amazonia_in_Finals_Map_3,Amazonia,SDmK,u,Dise,n
2020-10-22,SCILL Play WC3:Reforged Silver Open Cup/3#ID31_SDmK_vs_Stranik_on_Concealed_Hill_in_Finals_Map_4,Concealed Hill,Dise,n,SDmK,u
2020-10-22,SCILL Play WC3:Reforged Silver Open Cup/3#ID31_SDmK_vs_Stranik_on_Echo_Isles_in_Finals_Map_5,Echo Isles,SDmK,u,Dise,n
2020-10-22,SCILL Play WC3:Reforged Silver Open Cup/3#ID31_SDmK_vs_Stranik_on_Last_Refuge_in_Finals_Map_1,Last Refuge,SDmK,u,Dise,n
2020-10-22,SCILL Play WC3:Reforged Silver Open Cup/3#ID31_SDmK_vs_Stranik_on_Northern_Isles_in_Finals_Map_2,Northern Isles,Dise,n,SDmK,u
2020-10-22,SCILL Play WC3:Reforged Silver Open Cup/3#ID32_ToM_vs_PhoeNix_on_Concealed_Hill_in_3rd_Place_Match_Map_2,Concealed Hill,ToM,o,PhoeNix,n
2020-10-22,SCILL Play WC3:Reforged Silver Open Cup/3#ID32_ToM_vs_PhoeNix_on_Last_Refuge_in_3rd_Place_Match_Map_1,Last Refuge,ToM,o,PhoeNix,n
2020-10-22,Washed Up League/Season 3/Division 1#ID10_iNSUPERABLE_vs_Hitman_on_Concealed_Hill_in_Regular_season_Week_3_Map_2,Concealed Hill,Hitman,o,INSUPERABLE,u
2020-10-22,Washed Up League/Season 3/Division 1#ID10_iNSUPERABLE_vs_Hitman_on_Northern_Isles_in_Regular_season_Week_3_Map_1,Northern Isles,Hitman,o,INSUPERABLE,u
2020-10-23,SCILL Play WC3:Reforged Open Cup/6#ID10_MrGannicus_vs_Happy_on_Northern_Isles_in_Round_of_32_Map_1,Northern Isles,Happy,u,MrGannicus,u
2020-10-23,SCILL Play WC3:Reforged Open Cup/6#ID14_HawK_vs_MisterWinner_on_Last_Refuge_in_Round_of_16_Map_1,Last Refuge,HawK,h,MisterWinner,h
2020-10-23,SCILL Play WC3:Reforged Open Cup/6#ID15_Sheik_vs_Sonik_on_Northern_Isles_in_Round_of_16_Map_1,Northern Isles,Sonik,n,Sheik,u
